id,user_id,field_name,old_value,new_value,timestamp
1,551,email,old_user1@example.com,user1@example.com,2023-01-14 05:41:18.724308
2,525,email,old_user2@example.com,user2@example.com,2023-03-19 20:44:04.207600
3,418,email,old_user3@example.com,user3@example.com,2024-12-28 19:17:59.374149
4,414,email,old_user4@example.com,user4@example.com,2023-11-17 18:29:03.391603
5,917,email,old_user5@example.com,user5@example.com,2024-08-29 11:45:08.355980
6,464,email,old_user6@example.com,user6@example.com,2023-06-22 06:25:00.868677
7,645,email,old_user7@example.com,user7@example.com,2024-07-18 23:57:18.963689
8,936,email,old_user8@example.com,user8@example.com,2024-10-17 13:32:55.304304
9,303,email,old_user9@example.com,user9@example.com,2024-08-07 12:46:58.643347
10,253,email,old_user10@example.com,user10@example.com,2024-10-13 01:06:41.461369
11,842,email,old_user11@example.com,user11@example.com,2024-01-05 12:39:21.514364
12,445,email,old_user12@example.com,user12@example.com,2023-06-19 23:35:08.150316
13,233,email,old_user13@example.com,user13@example.com,2024-10-27 09:16:20.344217
14,860,email,old_user14@example.com,user14@example.com,2023-06-05 22:29:06.861515
15,239,email,old_user15@example.com,user15@example.com,2023-12-15 02:23:02.723525
16,356,email,old_user16@example.com,user16@example.com,2023-07-20 18:58:49.619462
17,554,email,old_user17@example.com,user17@example.com,2024-08-30 14:40:13.966560
18,193,email,old_user18@example.com,user18@example.com,2024-11-08 09:41:30.806495
19,816,email,old_user19@example.com,user19@example.com,2023-07-09 07:35:24.591778
20,144,email,old_user20@example.com,user20@example.com,2024-11-15 23:22:07.173936
21,787,email,old_user21@example.com,user21@example.com,2023-01-22 13:44:33.064972
22,754,email,old_user22@example.com,user22@example.com,2024-06-28 01:58:30.400774
23,938,email,old_user23@example.com,user23@example.com,2023-01-08 03:50:43.191214
24,640,email,old_user24@example.com,user24@example.com,2024-04-11 07:42:39.849349
25,226,email,old_user25@example.com,user25@example.com,2024-10-28 10:59:39.095389
26,732,email,old_user26@example.com,user26@example.com,2023-03-17 16:25:22.468594
27,792,email,old_user27@example.com,user27@example.com,2024-04-03 23:16:07.686348
28,769,email,old_user28@example.com,user28@example.com,2023-04-07 09:27:47.087142
29,328,email,old_user29@example.com,user29@example.com,2024-12-29 04:06:13.384095
30,579,email,old_user30@example.com,user30@example.com,2024-10-19 23:33:28.579251
31,437,email,old_user31@example.com,user31@example.com,2024-06-11 00:13:09.354304
32,196,email,old_user32@example.com,user32@example.com,2023-11-28 20:16:21.051399
